Päivämäärä,Ylin,Alin,Päätöskurssi,Keskimäärin,Muutos %,Vaihto kpl,Vaihto €
2020-02-28,3.5705,3.4155,3.445,3.47560202,-5.525846702317294,55197264,191880730.01
2020-02-27,3.815,3.563,3.6465,3.67009536,-0.47762008733625017,38370373,140827719.52
2020-02-26,3.6875,3.476,3.664,3.60958318,0.7008382575237171,37156340,134383559.77
2020-02-25,3.718,3.612,3.6385,3.65458629,-1.6488714691174522,25767667,94171413.11
2020-02-24,3.79,3.5975,3.6995,3.67956976,-2.7343236492704093,34431535,126691373.23
